Strain	Admin Division	Division of exposure	gisaid_epi_isl	Originating Lab	Region	Region of exposure	Submitting Lab	Author
India/CCMB_K600B/2020	Telangana	Telangana	EPI_ISL_447581	CSIR-Centre for Cellular and Molecular Biology	Asia	Asia	CSIR-Centre for Cellular and Molecular Biology	Sakshi Shambhavi et al B (https://dx.doi.org/10.1101/2020.05.31.126136)
India/NCDC-3170/2020	Delhi	Delhi	EPI_ISL_436425	National Centre for Disease control (NCDC)	Asia	Asia	NCDC/CSIR-IGIB	Pramod Kumar# et al (https://dx.doi.org/10.1101/2020.06.04.128751)
India/NCDC-3195/2020	Delhi	Indonesia	EPI_ISL_436430	National Centre for Disease control (NCDC)	Asia	Asia	NCDC/CSIR-IGIB	Pramod Kumar# et al (https://dx.doi.org/10.1101/2020.06.04.128751)
India/S9/2020	West Bengal	West Bengal	EPI_ISL_455642	ICMR-National Institute of Cholera and Enteric Diseases	Asia	Asia	National Institute of Biomedical Genomics	Arindam Maitra et al A
India/NCDC-02326/2020	Jammu	Jammu	EPI_ISL_435090	National Centre for Disease control (NCDC), CSIR-Institute of Genomics and Integrative Biology (CSIR-IGIB)	Asia	Asia	NCDC/CSIR-IGIB	Pramod Kumar et al (https://dx.doi.org/10.1101/2020.06.04.128751)
India/NCDC-02245/2020	Tamil Nadu	Tamil Nadu	EPI_ISL_435091	National Centre for Disease control (NCDC), CSIR-Institute of Genomics and Integrative Biology (CSIR-IGIB)	Asia	Asia	NCDC/CSIR-IGIB	Pramod Kumar et al (https://dx.doi.org/10.1101/2020.06.04.128751)
India/MaxCov0008_CSIR-IGIB/2020	Delhi	Delhi	EPI_ISL_459912	Devki Devi Foundation, a unit of Max Healthcare	Asia	Asia	CSIR-IGIB/Max	Rajesh Pandey# et al
India/NIV-6423/2020	Maharashtra	Maharashtra	EPI_ISL_454543	NIV Influenza	Asia	Asia	NIV Influenza	Potdar V et al B
India/CCMB_J318/2020	Telangana	Telangana	EPI_ISL_447855	CSIR-Centre for Cellular and Molecular Biology	Asia	Asia	CSIR-Centre for Cellular and Molecular Biology	Lamuk Zaveri et al A (https://dx.doi.org/10.1101/2020.05.31.126136)
India/GBRC10/2020	Gujarat	Gujarat	EPI_ISL_437438	Department of MicroBiology, Government Medical College, Surat	Asia	Asia	Gujarat Biotechnology Research Centre	Amit Kanani et al A (https://www.biorxiv.org/content/10.1101/2020.05.28.122143v1)
India/ILSCV14374/2020	Odisha	Odisha	EPI_ISL_463031	Institute of Life Sciences, Bhubaneswar	Asia	Asia	Immunogenomics lab, Institute of Life Sciences, Bhubaneswar	Sunil Raghav et al
India/ILSCV16512/2020	Odisha	Odisha	EPI_ISL_463051	Institute of Life Sciences, Bhubaneswar	Asia	Asia	Immunogenomics lab, Institute of Life Sciences, Bhubaneswar	Sunil Raghav et al
India/ILSCV16510/2020	Odisha	Odisha	EPI_ISL_463050	Institute of Life Sciences, Bhubaneswar	Asia	Asia	Immunogenomics lab, Institute of Life Sciences, Bhubaneswar	Sunil Raghav et al
India/CCMB_J207/2020	Telangana	Telangana	EPI_ISL_447570	CSIR-Centre for Cellular and Molecular Biology	Asia	Asia	CSIR-Centre for Cellular and Molecular Biology	Lamuk Zaveri et al A (https://dx.doi.org/10.1101/2020.05.31.126136)
India/CCMB_L299/2020	Telangana	Telangana	EPI_ISL_458062	CSIR-Centre for Cellular and Molecular Biology	Asia	Asia	CSIR-Centre for Cellular and Molecular Biology	Payel Mukherjee et al B
India/ILSCV11165/2020	Odisha	Odisha	EPI_ISL_463010	Institute of Life Sciences, Bhubaneswar	Asia	Asia	Immunogenomics lab, Institute of Life Sciences, Bhubaneswar	Sunil Raghav et al
India/S27/2020	West Bengal	West Bengal	EPI_ISL_455656	ICMR-National Institute of Cholera and Enteric Diseases	Asia	Asia	National Institute of Biomedical Genomics	Arindam Maitra et al A
India/CCMB_L301/2020	Telangana	Telangana	EPI_ISL_458063	CSIR-Centre for Cellular and Molecular Biology	Asia	Asia	CSIR-Centre for Cellular and Molecular Biology	Sofia Banu et al B
India/CCMB_L276_P1/2020	Telangana	Telangana	EPI_ISL_458073	CSIR-Centre for Cellular and Molecular Biology	Asia	Asia	CSIR-Centre for Cellular and Molecular Biology	Dhiviya Vedagiri et al
India/CCMB_J047/2020	Telangana	Telangana	EPI_ISL_447862	CSIR-Centre for Cellular and Molecular Biology	Asia	Asia	CSIR-Centre for Cellular and Molecular Biology	Payel Mukherjee et al A (https://dx.doi.org/10.1101/2020.05.31.126136)
India/NCDC-3271/2020	Delhi	Delhi	EPI_ISL_436433	National Centre for Disease control (NCDC)	Asia	Asia	NCDC/CSIR-IGIB	Pramod Kumar# et al (https://dx.doi.org/10.1101/2020.06.04.128751)
India/CCMB_L302_P1/2020	Telangana	Telangana	EPI_ISL_458076	CSIR-Centre for Cellular and Molecular Biology	Asia	Asia	CSIR-Centre for Cellular and Molecular Biology	Dhiviya Vedagiri et al
India/NCDC-4205/2020	Delhi	Delhi	EPI_ISL_436451	National Centre for Disease control (NCDC)	Asia	Asia	NCDC/CSIR-IGIB	Pramod Kumar# et al (https://dx.doi.org/10.1101/2020.06.04.128751)
India/CCMB_J125/2020	Telangana	Telangana	EPI_ISL_450326	CSIR-Centre for Cellular and Molecular Biology	Asia	Asia	CSIR-Centre for Cellular and Molecular Biology	Payel Mukherjee et al A (https://dx.doi.org/10.1101/2020.05.31.126136)
India/CCMB_O4/2020	Telangana	Telangana	EPI_ISL_458069	Osmania Medical College	Asia	Asia	CSIR-Centre for Cellular and Molecular Biology	Shashikala Reddy et al
Singapore/307/2020	Singapore	Singapore	EPI_ISL_462425	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/305/2020	Singapore	Singapore	EPI_ISL_462423	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/288/2020	Singapore	Singapore	EPI_ISL_462406	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/90/2020	Singapore	Singapore	EPI_ISL_435695	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al
Singapore/256/2020	Singapore	Singapore	EPI_ISL_462374	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/308/2020	Singapore	Singapore	EPI_ISL_462426	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/264/2020	Singapore	Singapore	EPI_ISL_462382	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/83/2020	Singapore	Singapore	EPI_ISL_435688	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al
Singapore/205/2020	Singapore	Singapore	EPI_ISL_462323	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/74/2020	Singapore	Singapore	EPI_ISL_435679	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al
Singapore/227/2020	Singapore	Singapore	EPI_ISL_462345	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/75/2020	Singapore	Singapore	EPI_ISL_435680	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al
Singapore/238/2020	Singapore	Singapore	EPI_ISL_462356	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/65/2020	Singapore	Singapore	EPI_ISL_428844	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/234/2020	Singapore	Singapore	EPI_ISL_462352	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/277/2020	Singapore	Singapore	EPI_ISL_462395	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/189/2020	Singapore	Singapore	EPI_ISL_462307	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/237/2020	Singapore	Singapore	EPI_ISL_462355	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
India/NIHSAD-0405-24/2020	Madhya Pradesh	Madhya Pradesh	EPI_ISL_452793	ICAR-National Institute of High Security Animal Diseases	Asia	Asia	ICAR-National Institute of High Security Animal Diseases	Anamika Mishra et al
India/GBRC111/2020	Gujarat	Gujarat	EPI_ISL_451156	Government Medical College, Vadodara	Asia	Asia	Gujarat Biotechnology Research Centre	Amit Kanani et al B
India/NIHSAD-1005-52/2020	Madhya Pradesh	Madhya Pradesh	EPI_ISL_452795	ICAR-National Institute of High Security Animal Diseases	Asia	Asia	ICAR-National Institute of High Security Animal Diseases	Anamika Mishra et al
India/S7/2020	West Bengal	West Bengal	EPI_ISL_455641	ICMR-National Institute of Cholera and Enteric Diseases	Asia	Asia	National Institute of Biomedical Genomics	Arindam Maitra et al A
Singapore/235/2020	Singapore	Singapore	EPI_ISL_462353	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/265/2020	Singapore	Singapore	EPI_ISL_462383	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/54/2020	Singapore	Singapore	EPI_ISL_428833	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/56/2020	Singapore	Singapore	EPI_ISL_428835	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/309/2020	Singapore	Singapore	EPI_ISL_462427	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/209/2020	Singapore	Singapore	EPI_ISL_462327	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/294/2020	Singapore	Singapore	EPI_ISL_462412	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/279/2020	Singapore	Singapore	EPI_ISL_462397	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/184/2020	Singapore	Singapore	EPI_ISL_462302	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/171/2020	Singapore	Singapore	EPI_ISL_462289	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/244/2020	Singapore	Singapore	EPI_ISL_462362	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/193/2020	Singapore	Singapore	EPI_ISL_462311	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/275/2020	Singapore	Singapore	EPI_ISL_462393	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/310/2020	Singapore	Singapore	EPI_ISL_462428	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/61/2020	Singapore	Singapore	EPI_ISL_428840	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/58/2020	Singapore	Singapore	EPI_ISL_428837	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/100/2020	Singapore	Singapore	EPI_ISL_443192	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al
Singapore/198/2020	Singapore	Singapore	EPI_ISL_462316	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/254/2020	Singapore	Singapore	EPI_ISL_462372	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Sichuan/SC-PHCC2-042/2020	Sichuan	Sichuan	EPI_ISL_451362	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Guangdong/2020XN4448-P0002/2020	Guangdong	Guangdong	EPI_ISL_413857	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Asia	Asia	Guangdong Provincial Institution of Public Health	Jing Lu et al (https://dx.doi.org/10.1016/j.cell.2020.04.023)
Shanghai/SH0039/2020	Shanghai	Shanghai	EPI_ISL_416348	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Guangdong/GD2020139-P0007/2020	Guangdong	Guangdong	EPI_ISL_413882	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Asia	Asia	Guangdong Provincial Institution of Public Health	Jing Lu et al (https://dx.doi.org/10.1016/j.cell.2020.04.023)
Guangzhou/GZMU0014/2020	Guangdong	Guangdong	EPI_ISL_414692	State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University	Asia	Asia	The First Affiliated Hospital of Guangzhou Medical University & BGI-Shenzhen	Zhao et al et al
India/ILSCV15918/2020	Odisha	Odisha	EPI_ISL_463040	Institute of Life Sciences, Bhubaneswar	Asia	Asia	Immunogenomics lab, Institute of Life Sciences, Bhubaneswar	Sunil Raghav et al
Scotland/EDB039/2020	Europe	Europe	EPI_ISL_425845	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh	Europe	Europe	COVID-19 Genomics UK (COG-UK) Consortium	McHugh M et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
Kuwait/KU001/2020	Kuwait	North America	EPI_ISL_421652	Dasman Diabetes Institute	Asia	North America	Dasman Diabetes Institute	Fahd Al-Mulla et al
Israel/990059217/2020	South Coast District	South Coast District	EPI_ISL_447277	Microbiology laboratory, Assuta Ashdod University-Affiliated Hospital	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Beijing/DT-travelFR02/2020	Beijing	Europe	EPI_ISL_452337	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Asia	Europe	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
Beijing/DT-travelNO01/2020	Beijing	Europe	EPI_ISL_452342	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Asia	Europe	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
Austria/Graz-MUG11/2020	Europe	Europe	EPI_ISL_437300	Diagnostic- and Research Institute of Pathology, Medical University of Graz	Europe	Europe	Diagnostic- and Research Institute of Pathology, Medical University of Graz	Karl Kashofer et al
Kuwait/KU005/2020	Kuwait	Europe	EPI_ISL_422426	JABER AL AHMAD AL SABAH HOSPITAL – KUWAIT CITY	Asia	Europe	Dasman Diabetes Institute	Fahd Al-Mulla et al
Taiwan/TSGH-32/2020	Taiwan	Taiwan	EPI_ISL_447591	TSGH-CP molecular lab	Asia	Asia	TSGH-CP molecular lab	Cherng-Lih Perng et al
India/MaxCov0014_CSIR-IGIB/2020	Delhi	Delhi	EPI_ISL_459916	Devki Devi Foundation, a unit of Max Healthcare	Asia	Asia	CSIR-IGIB/Max	Rajesh Pandey# et al
Beijing/DT-travelIT05/2020	Beijing	Europe	EPI_ISL_452334	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Asia	Europe	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
India/ILSCV21602/2020	Odisha	Odisha	EPI_ISL_463084	Institute of Life Sciences, Bhubaneswar	Asia	Asia	Immunogenomics lab, Institute of Life Sciences, Bhubaneswar	Sunil Raghav et al
Bangladesh/NIB_01/2020	Bangladesh	Bangladesh	EPI_ISL_447904	National Institute of Biotechnology	Asia	Asia	National Institute of Biotechnology	Md. Moniruzzaman et al
India/MaxCov0022_CSIR-IGIB/2020	Delhi	Delhi	EPI_ISL_459924	Devki Devi Foundation, a unit of Max Healthcare	Asia	Asia	CSIR-IGIB/Max	Rajesh Pandey# et al
India/MaxCov0010_CSIR-IGIB/2020	Delhi	Delhi	EPI_ISL_459913	Devki Devi Foundation, a unit of Max Healthcare	Asia	Asia	CSIR-IGIB/Max	Rajesh Pandey# et al
Shanghai/SH0025/2020	Shanghai	Shanghai	EPI_ISL_416334	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0086/2020	Shanghai	Shanghai	EPI_ISL_416386	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Taiwan/TSGH-28/2020	Taiwan	Taiwan	EPI_ISL_447254	TSGH-CP molecular lab	Asia	Asia	TSGH-CP molecular lab	Cherng-Lih Perng et al
Germany/BavPat3-ChVir1020/2020	Europe	Europe	EPI_ISL_450200		Europe	Europe	Department of Virology	Boehmer et al
Germany/BavPat1/2020	Europe	Europe	EPI_ISL_406862	Charité Universitätsmedizin Berlin, Institute of Virology; Institut für Mikrobiologie der Bundeswehr, Munich	Europe	Europe	Charité Universitätsmedizin Berlin, Institute of Virology	Victor M Corman et al A (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
Shanghai/SH0014/2020	Shanghai	Shanghai	EPI_ISL_416327	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Germany/BavPat1-ChVir929/2020	Europe	Europe	EPI_ISL_450198		Europe	Europe	Department of Virology	Boehmer et al
Beijing/DT-travelUSA03/2020	Beijing	North America	EPI_ISL_452340	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Asia	North America	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
Germany/BavPat2-ChVir984-ChVir1017/2020	Europe	Europe	EPI_ISL_450209		Europe	Europe	Department of Virology	Boehmer et al
Guangzhou/GZMU0019/2020	Guangdong	Guangdong	EPI_ISL_429080	The First Affiliated Hospital of Guangzhou Medical University	Asia	Asia	BGI-shenzhen & The First Affiliated Hospital of Guangzhou Medical University	et al
Sichuan/SC-PHCC1-022/2020	Sichuan	Sichuan	EPI_ISL_451345	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Guangzhou/GZMU0037/2020	Guangdong	Guangdong	EPI_ISL_429089	The First Affiliated Hospital of Guangzhou Medical University	Asia	Asia	BGI-shenzhen & The First Affiliated Hospital of Guangzhou Medical University	Yanqun Wang et al
Finland/FIN-114/2020	Europe	Europe	EPI_ISL_414640	Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Europe	Europe	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura et al A
Beijing/DT-travelUSA04/2020	Beijing	North America	EPI_ISL_452339	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Asia	North America	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
Beijing/DT-travelMX01/2020	Beijing	North America	EPI_ISL_452341	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Asia	North America	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
India/NCDC-4879/2020	Madhya Pradesh	Madhya Pradesh	EPI_ISL_436463	National Centre for Disease control (NCDC)	Asia	Asia	NCDC/CSIR-IGIB	Pramod Kumar# et al (https://dx.doi.org/10.1101/2020.06.04.128751)
Beijing/DT-travelES01/2020	Beijing	Europe	EPI_ISL_452343	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Asia	Europe	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
India/NCDC-4867/2020	Madhya Pradesh	Madhya Pradesh	EPI_ISL_436458	National Centre for Disease control (NCDC)	Asia	Asia	NCDC/CSIR-IGIB	Pramod Kumar# et al (https://dx.doi.org/10.1101/2020.06.04.128751)
Beijing/DT-travelGR01/2020	Beijing	Europe	EPI_ISL_452347	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Asia	Europe	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
Finland/FIN-25/2020	Europe	Europe	EPI_ISL_412971	HUS Diagnostiikkakeskus, Hallinto	Europe	Europe	Department of Virology Faculty of Medicine, Medicum University of Helsinki	Teemu Smura et al B (https://dx.doi.org/10.1002/jmv.25773)
Thailand/SI205529-NT/2020	Thailand	Thailand	EPI_ISL_437606		Asia	Asia	Faculty of Medicine	Rodpan et al
UnitedArabEmirates/L9440/2020	United Arab Emirates	United Arab Emirates	EPI_ISL_435141	Mohammed Bin Rashid University of Medicine and Health Sciences	Asia	Asia	Al Jalila Genomics Center	Ahmad Abou Tayoun et al B (https://dx.doi.org/10.1101/2020.05.06.080606)
Germany/BavPat10-ChVir1482/2020	Europe	Europe	EPI_ISL_450207		Europe	Europe	Department of Virology	Boehmer et al
Germany/BavPat7-ChVir1289/2020	Europe	Europe	EPI_ISL_450203		Europe	Europe	Department of Virology	Boehmer et al
Zhejiang/HZ103/2020	Zhejiang	Zhejiang	EPI_ISL_422425	Zhejiang Provincial Center for Disease Control and Prevention	Asia	Asia	Zhejiang Provincial Center for Disease Control and Prevention	Yanjun Zhang et al
Luxembourg/LNS0000001/2020	Europe	Europe	EPI_ISL_419562	Laboratoire National de Santé, Microbiology, Virology	Europe	Europe	Laboratoire National de Santé, Microbiology, Epidemiology and Microbial Genomics	Anke Wienecke-Baldacchino et al
Luxembourg/Lux1/2020	Europe	Europe	EPI_ISL_413593	Laboratoire National de Santé	Europe	Europe	Erasmus Medical Center	David Nieuwenhuijse et al B
Beijing/DT-travelIT01/2020	Beijing	Europe	EPI_ISL_452352	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Asia	Europe	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
Beijing/DT-travelIT02/2020	Beijing	Europe	EPI_ISL_452353	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Asia	Europe	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
Beijing/DT-travelIT03/2020	Beijing	Europe	EPI_ISL_452354	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Asia	Europe	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
India/nimh-0116/2020	Karnataka	Karnataka	EPI_ISL_428480	District Surveillence Unit	Asia	Asia	Department of Neurovirology, National Institute of Mental Health and Neuroscience (NIMHANS)	Chitra Pattabiraman et al (https://www.biorxiv.org/content/10.1101/2020.05.28.122143v1)
India/NIV-4379/2020	Maharashtra	Maharashtra	EPI_ISL_454532	NIV Influenza	Asia	Asia	NIV Influenza	Potdar V et al B
India/NIV-11681/2020	Maharashtra	Maharashtra	EPI_ISL_452195	NIV Influenza	Asia	Asia	NIV Influenza	Potdar V et al B
India/NIV-11683/2020	Maharashtra	Maharashtra	EPI_ISL_452196	NIV Influenza	Asia	Asia	NIV Influenza	Potdar V et al B
Thailand/Bangkok-CONI-0095/2020	Bangkok	Bangkok	EPI_ISL_458024	Hospital for Tropical Diseases	Asia	Asia	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al A
India/NIV-4438/2020	Maharashtra	Maharashtra	EPI_ISL_454533	NIV Influenza	Asia	Asia	NIV Influenza	Potdar V et al B
Zhejiang/OS3/2020	Zhejiang	Zhejiang	EPI_ISL_455691		Asia	Asia	Department of Microbiology	Gao et al
Romania/284213/2020	Europe	Europe	EPI_ISL_455468	Laboratory for Respiratory Viruses, Cantacuzino National Military-Medical Institute for Research and Development	Europe	Europe	Cantacuzino Institute	M.Lazar et al
Colombia/GVI97223/2020	South America	South America	EPI_ISL_447814	Instituto Nacional de Salud, Bogotá, Colombia	South America	South America	Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Juan David Ramírez et al
UnitedArabEmirates/L7356/2020	United Arab Emirates	United Arab Emirates	EPI_ISL_435140	Mohammed Bin Rashid University of Medicine and Health Sciences	Asia	Asia	Al Jalila Genomics Center	Ahmad Abou Tayoun et al B (https://dx.doi.org/10.1101/2020.05.06.080606)
Canada/ON-UHTC_0028/2020	North America	North America	EPI_ISL_464010	Unity Health Toronto	North America	North America	Ontario Institute for Cancer Research	Ramzi Fattouh et al
Canada/ON-UHTC_0076/2020	North America	North America	EPI_ISL_464019	Unity Health Toronto	North America	North America	Ontario Institute for Cancer Research	Ramzi Fattouh et al
Portugal/PT0439/2020	Europe	Europe	EPI_ISL_454163		Europe	Europe	Instituto Nacional de Saude (INSA)	Borges et al et al
Bangladesh/DU_50768/2020	Dhaka	Dhaka	EPI_ISL_450843	COVID-19 Laboratory	Asia	Asia	DNA Solution Ltd.	Sharif Akhteruzzaman et al
Canada/ON_MU-S26/2020	North America	North America	EPI_ISL_463975	Toronto Invasive Bacterial Diseases Network	North America	North America	McMaster University	Allison McGeer et al
Portugal/PT0046/2020	Europe	Europe	EPI_ISL_421449	H Dr. Nelio Mendonca - Funchal	Europe	Europe	Instituto Nacional de Saude (INSA)	Guiomar et al et al
SriLanka/COV91/2020	Sri Lanka	Sri Lanka	EPI_ISL_428672	Centre for Dengue Research	Asia	Asia	Centre for Dengue Research	Chandima Jeewandara et al
